ABBE	TITLE	The Adventure of the Abbey Grange
BERY	TITLE	The Adventure of the Beryl Coronet
BLAC	TITLE	The Adventure of Black Peter
BLAN	TITLE	The Adventure of the Blanched Soldier
BLUE	TITLE	The Adventure of the Blue Carbuncle
BOSC	TITLE	The Boscombe Valley Mystery
BRUC	TITLE	The Adventure of the Bruce-Partington Plans
CARD	TITLE	The Adventure of the Cardboard Box
CHAS	TITLE	The Adventure of Charles Augustus Milverton
COPP	TITLE	The Adventure of the Copper Beeches
CREE	TITLE	The Adventure of the Creeping Man
CROO	TITLE	The Adventure of the Crooked Man
DANC	TITLE	The Adventure of the Dancing Men
DEVI	TITLE	The Adventure of the Devil's Foot
DYIN	TITLE	The Adventure of the Dying Detective
EMPT	TITLE	The Adventure of the Empty House
ENGR	TITLE	The Adventure of the Engineer's Thumb
FINA	TITLE	The Adventure of the Final Problem
FIVE	TITLE	The Five Orange Pips
GLOR	TITLE	The Adventure of the Gloria Scott
GOLD	TITLE	The Adventure of the Golden Pince-Nez
GREE	TITLE	The Adventure of the Greek Interpreter
HOUN	TITLE	The Hound of the Baskervilles
IDEN	TITLE	A Case of Identity
ILLU	TITLE	The Adventure of the Illustrious Client
LADY	TITLE	The Disappearance of Lady Frances Carfax
LAST	TITLE	His Last Bow
LION	TITLE	The Adventure of the Lion's Mane
MAZA	TITLE	The Adventure of the Mazarin Stone
MISS	TITLE	The Adventure of the Missing Three-Quarter
MUSG	TITLE	The Adventure of the Musgrave Ritual
NAVA	TITLE	The Adventure of the Naval Treaty
NOBL	TITLE	The Adventure of the Noble Bachelor
NORW	TITLE	The Adventure of the Norwood Builder
PREF	TITLE	Preface
PRIO	TITLE	The Adventure of the Priory School
REDC	TITLE	The Adventure of the Red Circle
REDH	TITLE	The Red-Headed League
REIG	TITLE	The Adventure of the Reigate Squire
REIG	TITLE	The Adventure of the Reigate Squires
REIG	TITLE	The Adventure of the Reigate Puzzle
RESI	TITLE	The Adventure of the Resident Patient
RETI	TITLE	The Adventure of the Retired Colourman
SCAN	TITLE	A Scandal in Bohemia
SECO	TITLE	The Adventure of the Second Stain
SHOS	TITLE	The Adventure of Shoscombe Old Place
SIGN	TITLE	The Sign of Four
SILV	TITLE	The Adventure of Silver Blaze
SIXN	TITLE	The Adventure of the Six Napoleons
SOLI	TITLE	The Adventure of the Solitary Cyclist
SPEC	TITLE	The Adventure of the Speckled Band
STOC	TITLE	The Adventure of the Stockbroker's Clerk
STUD	TITLE	A Study in Scarlet
SUSS	TITLE	The Adventure of the Sussex Vampire
THOR	TITLE	The Problem of Thor Bridge
3GAB	TITLE	The Adventure of the Three Gables
3GAR	TITLE	The Adventure of the Three Garridebs
3STU	TITLE	The Adventure of the Three Students
TWIS	TITLE	The Man with the Twisted Lip
VALL	TITLE	The Valley of Fear
VEIL	TITLE	The Adventure of the Veiled Lodger
WIST	TITLE	The Adventure of Wisteria Lodge
YELL	TITLE	The Adventure of the Yellow Face
ADV	TITLE	The Adventures of Sherlock Holmes
MEM	TITLE	The Memoirs of Sherlock Holmes
RET	TITLE	The Return of Sherlock Holmes
BOW	TITLE	His Last Bow
CAS	TITLE	The Casebook of Sherlock Holmes
