LADY	PUBLISHED	The Strand Magazine in December 1911
LADY	ORDER	45
LADY	COLLECTION	His Last Bow: Some Reminiscences of Sherlock Holmes
NORW	PUBLISHED	The Collier's magazine, 31 October 1903 (US)
NORW	PUBLISHED	The Strand Magazine in November 1903 (UK)
NORW	ORDER	29
NORW	COLLECTION	The Return of Sherlock Holmes
SILV	PUBLISHED	The Strand Magazine in December 1892
SILV	ORDER	15
SILV	COLLECTION	The Memoirs of Sherlock Holmes
3GAB	PUBLISHED	The Liberty magazine, 18 September 1926 (US)
3GAB	ORDER	55
3GAB	COLLECTION	The Case-Book of Sherlock Holmes
ABBE	PUBLISHED	The Strand Magazine in September 1904
ABBE	ORDER	39
ABBE	COLLECTION	The Return of Sherlock Holmes
HOUN	PUBLISHED	The Strand Magazine in August 1901 - April 1902
HOUN	ILLUS	(60 illustrations by Sidney Paget)
HOUN	ORDER	27
GOLD	PUBLISHED	The Strand Magazine in July 1904
GOLD	ORDER	37
GOLD	COLLECTION	The Return of Sherlock Holmes
FINA	PUBLISHED	various US newspapers on 26 November 1893 (US)
FINA	PUBLISHED	The Strand Magazine (UK) in December 1893
FINA	ORDER	26
FINA	COLLECTION	The Memoirs of Sherlock Holmes
SPEC	PUBLISHED	The Strand Magazine in February 1892
SPEC	ORDER	10
SPEC	COLLECTION	The Adventures of Sherlock Holmes
CREE	PUBLISHED	The Strand Magazine (UK) in March 1923
CREE	PUBLISHED	Hearst's International (US) in March 1923
CREE	ORDER	51
CREE	COLLECTION	The Case-Book of Sherlock Holmes
MUSG	PUBLISHED	The Strand Magazine in May 1893
MUSG	ORDER	20
MUSG	COLLECTION	The Memoirs of Sherlock Holmes
PRIO	PUBLISHED	Collier's on 30 January 1904 (US)
PRIO	PUBLISHED	The Strand Magazine in February 1904 (UK)
PRIO	ORDER	32
PRIO	COLLECTION	The Return of Sherlock Holmes
BLAN	PUBLISHED	Liberty magazine on 16 October 1926 (US)
BLAN	ORDER	56
BLAN	COLLECTION	The Case-Book of Sherlock Holmes
NAVA	PUBLISHED	The Strand Magazine in October-November 1893
NAVA	ORDER	25
NAVA	COLLECTION	The Memoirs of Sherlock Holmes
SIXN	PUBLISHED	The Collier's magazine in 30 April 1904 (US)
SIXN	PUBLISHED	The Strand Magazine in May 1904 (UK)
SIXN	ORDER	35
SIXN	COLLECTION	The Return of Sherlock Holmes
SCAN	PUBLISHED	The Strand Magazine in July 1891
SCAN	ORDER	3
SCAN	COLLECTION	The Adventures of Sherlock Holmes
SECO	PUBLISHED	The Strand Magazine in December 1904
